site_id,name,country_code,country_name,latitude,longitude,plant_type,status,region,elevation_m,installed_capacity_mw,site_area_ha
5a33e5f0-6d86-4eab-adea-6c6bad7f3f45,Arad power station,RO,Romania,46.222424,21.328771,lignite,retired,Europe,115.25,100.0,70.86
dac2a974-a2de-46c5-b581-03985a9ae7d0,Bacau CHP power station,RO,Romania,46.530524,26.940874,coal,retired,Europe,147.8,60.0,86.07
29836b52-a882-4921-95a7-6417e636d9a2,Braila power station,RO,Romania,45.165033,27.923383,coal,retired,Europe,13.51,850.0,41.78
323cdbf0-c4a8-467a-af76-e2e3df0b537f,Braila power station,RO,Romania,45.165033,27.923383,coal,cancelled,Europe,13.51,800.0,41.78
f1f65cf9-996c-4922-97bd-76e38c032331,Brăila-Chișcani Thermal Power Plant,RO,Romania,45.2744,27.9291,thermal,operating,,16.23,,72.99
729f8d17-57c0-4d9a-adab-4b612d4abde5,Brasov power station,RO,Romania,45.662296,25.646845,lignite,retired,Europe,575.27,130.0,72.35
3bef37a3-239e-498d-a160-77452a6a9b79,Bucharest North East power station,RO,Romania,44.4325,26.103889,coal,cancelled,Europe,79.35,400.0,1.9
a4fa3246-27d6-4740-898c-bdf9dadcb88c,Craiova II power station,RO,Romania,44.34294,23.81076,lignite,operating,Europe,133.55,450.0,120.84
aff5ffe6-fe7a-4de7-afad-9d4645a64cd9,Doicesti power station,RO,Romania,45.002896,25.397236,lignite,cancelled,Europe,335.06,1400.0,0.16
18ecb024-ee4f-4045-8254-5e95d61dea8c,FPCU Feldioara,RO,Romania,45.7917,25.5889,thermal,operating,,493.49,,8.16
8781d874-5923-4795-9c9f-b2a6c709025a,Galati Power Station,RO,Romania,45.423333,28.0425,coal,cancelled,Europe,17.21,800.0,0.71
6aed2eac-1c97-40c5-b842-fb15fd510f35,Giurgiu power station,RO,Romania,43.879766,25.926778,lignite,retired,Europe,23.51,150.0,114.97
825dc024-9a53-4237-bf59-cbe0af0cf87d,Govora power station,RO,Romania,45.039047,24.287572,lignite,operating,Europe,223.19,200.0,22.14
1d8be6d0-f3a5-4b32-9d46-3526289731f8,Iasi-2 power station,RO,Romania,47.147296,27.717157,coal,retired,Europe,38.62,110.0,64.11
e073b3f8-4312-4d34-b322-6289a3121af1,Isalnita power station,RO,Romania,44.38763,23.718195,lignite,mothballed,Europe,102.44,1130.0,159.43
52a7babe-313f-493b-86b9-bd0c4aece4c3,Mintia-Deva power station,RO,Romania,45.912791,22.826129,coal,retired,Europe,191.41,1285.0,0.01
6c428b2a-ad09-448b-b24c-22465929d69c,Oradea power station,RO,Romania,47.084677,21.892868,lignite,retired,Europe,118.88,100.0,11.23
9825e28e-fd6e-460d-9caf-0342563f9060,Paroseni power station,RO,Romania,45.366101,23.261351,coal,operating,Europe,619.98,350.0,82.67
c3790475-3d3b-4e2b-92ae-24503fe03e6b,Romag Termo power station,RO,Romania,44.677808,22.685995,lignite,cancelled,Europe,88.31,1065.0,95.28
958e4d82-853a-41f1-a442-94b4c4314221,Rovinari power station,RO,Romania,44.910633,23.134754,lignite,operating,Europe,162.2,1920.0,62.94
d498ded8-449c-4672-8bb9-0ed6c8fef775,Slatina power station,RO,Romania,44.429722,24.364167,lignite,cancelled,Europe,176.62,100.0,11.51
693d9b73-f9fc-4502-9b94-be020c5d21fb,Suceava power station,RO,Romania,47.651873,26.298268,coal,retired,Europe,277.91,100.0,75.56
